Model_masked,Coupling & Drive,Cylinder & Overheating,Electrical & Instruments,Hour Meter & Accessories,KRMS & Sensors,Leaks (General),Loading & Unloading,Major Mechanical,Oil Consumption & Carryover,Oil Pump,Others,Shaft Seal,Sound & Vibration,Valves & Solenoids
AAA1,0.04645161290322581,0.05290322580645161,0.07225806451612904,0.05290322580645161,0.04645161290322581,0.04645161290322581,0.05290322580645161,0.04645161290322581,0.2154838709677419,0.05935483870967742,0.07870967741935483,0.09806451612903228,0.07225806451612904,0.05935483870967742
AAA102,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705
AAA12,0.05000000000000001,0.13000000000000003,0.04000000000000001,0.04000000000000001,0.04000000000000001,0.060000000000000005,0.04000000000000001,0.04000000000000001,0.17,0.12000000000000001,0.060000000000000005,0.060000000000000005,0.060000000000000005,0.09000000000000001
AAA2,0.016754478398314013,0.07186512118018967,0.19188619599578505,0.026343519494204423,0.03624868282402529,0.024973656480505795,0.023603793466807164,0.019494204425711273,0.15532139093782932,0.07839831401475238,0.10706006322444678,0.12075869336143308,0.08861959957850368,0.0386722866174921
AAA21,0.04802631578947369,0.06907894736842106,0.07960526315789475,0.05855263157894738,0.05855263157894738,0.04802631578947369,0.04802631578947369,0.05855263157894738,0.06907894736842106,0.10065789473684213,0.06907894736842106,0.05855263157894738,0.11710526315789475,0.11710526315789475
AAA3,0.015942028985507246,0.1253623188405797,0.07246376811594202,0.014492753623188404,0.021739130434782608,0.020289855072463767,0.021739130434782608,0.02826086956521739,0.18695652173913044,0.15942028985507245,0.0608695652173913,0.06594202898550725,0.14347826086956522,0.06304347826086956
AAA31,0.05476190476190476,0.06904761904761905,0.10238095238095238,0.04047619047619048,0.11666666666666667,0.04047619047619048,0.04047619047619048,0.047619047619047616,0.047619047619047616,0.0761904761904762,0.14523809523809522,0.06190476190476191,0.047619047619047616,0.10952380952380952
AAA4,0.009730704225352113,0.14287774647887325,0.039301408450704234,0.02138140845070423,0.02586140845070423,0.017410704225352115,0.009730704225352113,0.012290704225352113,0.28780619718309863,0.07450140845070423,0.055562816901408456,0.06964281690140846,0.1687391549295775,0.06516281690140846
AAA42,0.03310077519379845,0.054806201550387595,0.057906976744186045,0.03310077519379845,0.0786046511627907,0.03930232558139535,0.03310077519379845,0.0362015503875969,0.10961240310077519,0.08790697674418604,0.07961240310077519,0.07341085271317829,0.17682170542635658,0.10651162790697674
AAA51,0.03557894736842104,0.13115789473684208,0.0791578947368421,0.03557894736842104,0.05157894736842105,0.06357894736842104,0.03557894736842104,0.04757894736842105,0.06357894736842104,0.06757894736842104,0.0871578947368421,0.05157894736842105,0.15473684210526314,0.09557894736842104
AAA6,0.01263238484113819,0.10519331376802349,0.05872144953426056,0.016103100676279188,0.017838458593849686,0.021309174428990683,0.016970779635064437,0.015235421717493938,0.3268852877376547,0.05948704861554167,0.055250733699119564,0.06392752328697206,0.17220875334949598,0.05823657011611586
AAA63,0.03135011441647597,0.06819221967963386,0.04187643020594965,0.03135011441647597,0.03135011441647597,0.03135011441647597,0.04187643020594965,0.03135011441647597,0.10503432494279177,0.05240274599542334,0.06292906178489702,0.12036613272311211,0.2823798627002288,0.06819221967963386
AAA72,0.0155318202047174,0.087716955941255,0.030485091232754783,0.0155318202047174,0.0715175789942145,0.03729417000445037,0.01802403204272363,0.024254561637739206,0.1269247886070316,0.09327992879394748,0.1249221183800623,0.0715175789942145,0.21455273698264352,0.06844681797952826
AAA8,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.13333333333333336,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668
AAA84,0.04672268907563024,0.11529411764705881,0.04672268907563024,0.04672268907563024,0.04672268907563024,0.05815126050420166,0.04672268907563024,0.05815126050420166,0.11630252100840333,0.05815126050420166,0.14016806722689074,0.04672268907563024,0.10386554621848737,0.0695798319327731
AAA9,0.11548619447779113,0.08835534213685475,0.08283313325330133,0.03937575030012005,0.06386554621848739,0.04345738295318127,0.05162064825930372,0.04345738295318127,0.08835534213685475,0.10324129651860744,0.05162064825930372,0.05978391356542617,0.09243697478991597,0.07611044417767107
AAA93,0.03108695652173913,0.2043478260869565,0.046086956521739136,0.03108695652173913,0.04108695652173913,0.03108695652173913,0.03108695652173913,0.03608695652173913,0.06108695652173912,0.10826086956521738,0.10217391304347825,0.06108695652173912,0.1443478260869565,0.07108695652173913
AAC2,0.03597883597883598,0.07936507936507937,0.1015873015873016,0.04338624338624339,0.03597883597883598,0.058201058201058205,0.07195767195767196,0.0507936507936508,0.10899470899470899,0.09417989417989418,0.08677248677248678,0.10264550264550265,0.04338624338624339,0.08677248677248678
AAD4,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.058823529411764705
AAD6,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.13333333333333336,0.06666666666666668,0.06666666666666668
AAE4,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.11764705882352941
AB102,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.0625
AB12,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.1875,0.0625
AB2,0.04680232558139535,0.06540697674418605,0.1119186046511628,0.04680232558139535,0.04680232558139535,0.04680232558139535,0.04680232558139535,0.04680232558139535,0.12151162790697674,0.0747093023255814,0.056104651162790696,0.10261627906976745,0.11220930232558139,0.0747093023255814
AB21,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.08333333333333334,0.08333333333333334,0.04166666666666667,0.08333333333333334,0.04166666666666667,0.12500000000000003,0.25000000000000006
AB3,0.026276923076923073,0.03587692307692307,0.08135384615384615,0.03267692307692307,0.026276923076923073,0.03267692307692307,0.04867692307692306,0.026276923076923073,0.0980307692307692,0.22098461538461533,0.06855384615384615,0.09095384615384615,0.1371076923076923,0.07427692307692306
AB31,0.04000000000000001,0.04000000000000001,0.08000000000000002,0.04000000000000001,0.04000000000000001,0.12000000000000001,0.04000000000000001,0.04000000000000001,0.04000000000000001,0.20000000000000004,0.08000000000000002,0.04000000000000001,0.12000000000000001,0.08000000000000002
AB4,0.016796308503625575,0.0211206328279499,0.06003955174686883,0.016796308503625575,0.016796308503625575,0.025444957152274225,0.01895847066578774,0.016796308503625575,0.1608174027686223,0.10061964403427819,0.023282794990112064,0.05088991430454845,0.32229400131839153,0.14934739617666448
AB42,0.020833333333333332,0.020833333333333332,0.08333333333333333,0.020833333333333332,0.020833333333333332,0.10416666666666667,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.22916666666666666,0.0625,0.08333333333333333,0.20833333333333334,0.08333333333333333
AB51,0.02702702702702703,0.08108108108108109,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.21621621621621623,0.02702702702702703,0.10810810810810811,0.24324324324324326,0.02702702702702703
AB6,0.026649006622516555,0.03194701986754967,0.06108609271523179,0.026649006622516555,0.029298013245033113,0.03724503311258279,0.029298013245033113,0.029298013245033113,0.17578807947019867,0.0849271523178808,0.042543046357615896,0.042543046357615896,0.22331125827814569,0.15941721854304636
AB63,0.03125,0.0625,0.03125,0.03125,0.03125,0.0625,0.0625,0.03125,0.0625,0.21875,0.0625,0.125,0.125,0.0625
AB72,0.015625,0.015625,0.078125,0.015625,0.015625,0.046875,0.046875,0.140625,0.03125,0.296875,0.0625,0.0625,0.109375,0.0625
AB84,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.14285714285714285,0.03571428571428571,0.14285714285714285,0.25
AB9,0.03448275862068965,0.0689655172413793,0.0689655172413793,0.03448275862068965,0.03448275862068965,0.0689655172413793,0.0689655172413793,0.03448275862068965,0.0689655172413793,0.1379310344827586,0.0689655172413793,0.0689655172413793,0.20689655172413787,0.03448275862068965
AB93,0.03333333333333333,0.1,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.23333333333333334,0.06666666666666667,0.03333333333333333,0.1,0.06666666666666667
AF2,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.043478260869565216,0.13043478260869565,0.21739130434782608,0.06521739130434782,0.13043478260869565,0.06521739130434782,0.10869565217391304
